AgAgAg,0.823301
AgAgIr,-0.470179
AgAgPd,0.612573
AgAgPt,0.374752
AgAgRu,-0.869420
AgIrIr,-0.603051
AgIrPd,-0.386478
AgIrPt,-0.296955
AgIrRu,-0.971134
AgPdPd,0.417371
AgPdPt,0.226634
AgPdRu,-0.897300
AgPtPt,0.231177
AgPtRu,-0.677207
AgRuRu,-1.168980
IrIrIr,-0.884791
IrIrPd,-0.791251
IrIrPt,-0.645038
IrIrRu,-1.154468
IrPdPd,-0.586752
IrPdPt,-0.435780
IrPdRu,-1.101158
IrPtPt,-0.331185
IrPtRu,-0.912780
IrRuRu,-1.396306
PdPdPd,0.142790
PdPdPt,0.030062
PdPdRu,-0.915004
PdPtPt,0.073705
PdPtRu,-0.771205
PdRuRu,-1.356419
PtPtPt,0.092753
PtPtRu,-0.617444
PtRuRu,-1.178394
RuRuRu,-1.654559
1b_Ag,-0.081909
1b_Ir,0.062988
1b_Pd,-0.047180
1b_Pt,0.025269
1b_Ru,0.040649
1c_Ag,0.028809
1c_Ir,-0.020630
1c_Pd,0.014160
1c_Pt,0.002563
1c_Ru,-0.025635
2a_Ag,-0.040527
2a_Ir,0.030518
2a_Pd,-0.022949
2a_Pt,-0.011230
2a_Ru,0.042969
2b_Ag,0.005127
2b_Ir,-0.004639
2b_Pd,-0.013672
2b_Pt,-0.027344
2b_Ru,0.040405
